MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-02-04,5001.29,Nigeria,6.448858,7.392609
2020-09-21,1144.73759513,Nigeria,9.076439,7.425385
2022-10-18,5681.84895345,Nigeria,9.076439,7.425385
2023-07-09,5479.722,Nigeria,9.076439,7.425385
2020-10-05,4577.15334525,Nigeria,9.076439,7.425385
2021-02-04,5822.16848,Nigeria,9.076439,7.425385
2021-02-13,6802.40292784,Nigeria,9.076439,7.425385
2023-05-24,3047.523,Nigeria,9.076439,7.425385
2020-06-19,5053.71136242,Nigeria,9.076439,7.425385
2020-10-06,4213.89309771,Nigeria,9.076439,7.425385
2023-01-30,5942.491,Nigeria,9.076439,7.425385
2021-02-11,6514.63193152,Nigeria,9.076439,7.425385
2023-11-02,6324.029,Nigeria,9.076439,7.425385
2020-11-24,5339.74555845,Nigeria,9.076439,7.425385
2023-05-22,3469.138,Nigeria,9.076439,7.425385
2024-06-17,5389.867,Nigeria,9.076439,7.425385
2021-03-09,5981.52840324,Nigeria,9.076439,7.425385
2024-02-06,4899.898,Nigeria,6.448858,7.392609
2022-07-07,4908.62438779,Nigeria,9.076439,7.425385
2022-06-06,5808.77066937,Nigeria,9.076439,7.425385
2023-11-22,3674.125,Nigeria,6.448858,7.392609
2020-11-29,6087.12897292,Nigeria,9.076439,7.425385
2022-05-25,5211.13072694,Nigeria,9.076439,7.425385
2023-07-15,5091.806,Nigeria,9.076439,7.425385
2024-01-17,5353.559,Nigeria,9.076439,7.425385
2023-05-10,4627.39,Nigeria,6.448858,7.392609
2021-04-25,6963.14936338,Nigeria,9.076439,7.425385
2022-12-22,5426.48787516,Nigeria,9.076439,7.425385
2020-03-27,0,Nigeria,9.076439,7.425385
2022-02-15,6372.61786173,Nigeria,9.076439,7.425385
2024-01-03,5307.148,Nigeria,6.448858,7.392609
2020-10-12,5721.35054972,Nigeria,9.076439,7.425385
2021-06-19,5166.16469143,Nigeria,9.076439,7.425385
2021-12-23,5584.783194,Nigeria,9.076439,7.425385
2023-10-24,4625.81,Nigeria,6.448858,7.392609
2021-07-06,1943.10753058,Nigeria,9.076439,7.425385
2020-05-25,2506.62092127,Nigeria,9.076439,7.425385
2023-05-04,1684.266,Nigeria,6.448858,7.392609
2023-04-20,7101.148,Nigeria,6.448858,7.392609
2024-01-21,5729.605,Nigeria,9.076439,7.425385
2023-04-10,6840.009,Nigeria,6.448858,7.392609
2023-01-28,5104.559,Nigeria,9.076439,7.425385
2023-06-28,3345.898,Nigeria,9.076439,7.425385
2023-02-13,6554.068,Nigeria,9.076439,7.425385
2020-07-08,3802.91729667,Nigeria,9.076439,7.425385
2022-09-20,3466.28045519,Nigeria,9.076439,7.425385
2023-07-03,5030.52,Nigeria,9.076439,7.425385
2024-06-04,3595.141,Nigeria,9.076439,7.425385
2023-07-05,2522.139,Nigeria,6.448858,7.392609
2020-03-17,0,Nigeria,9.076439,7.425385
