DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
15180059806776514843,2024-01-10,0,Kenya,-1.494448,37.057094
15180059806776514843,2024-02-17,0,Kenya,-1.494448,37.057094
14009020961523231008,2022-06-03,0,Kenya,0.610000,36.830000
14009020961523231008,2022-06-03,0,Kenya,0.610000,36.830000
6707192699788041462,2021-06-22,3218.4,Kenya,-1.232761,36.878509
6961463658566967421,2022-08-28,7247.97833333,Kenya,-0.469974,35.181874
6961463658566967421,2020-12-08,7020.156725,Kenya,-0.469974,35.181874
4724210986729736007,2024-02-23,5102.67,Kenya,-0.982000,37.053900
17489857020235903699,2021-05-25,6281.18166667,Kenya,-0.270000,35.850000
16388039360858303205,2023-01-23,4858.623,Kenya,-0.220000,35.860000
6002857824960866008,2023-08-03,2298.171,Ghana,-0.235111,5.632167
14009020961523231008,2022-10-14,0,Kenya,0.610000,36.830000
14009020961523231008,2022-10-14,0,Kenya,0.610000,36.830000
6888740820673076166,2024-06-18,0,Kenya,0.610000,36.800000
6888740820673076166,2024-06-18,0,Kenya,0.610000,36.800000
6961463658566967421,2020-08-23,3737.772025,Kenya,-0.469974,35.181874
6961463658566967421,2022-03-27,3914.86535,Kenya,-0.469974,35.181874
10173608244938908903,2020-07-05,3996.20833333,Ghana,5.645759,-0.105223
13026966175404302122,2023-08-23,2811.45,Nigeria,6.448858,7.392609
16388039360858303205,2022-12-09,4250.77416667,Kenya,-0.220000,35.860000
6961463658566967421,2020-08-06,7664.034025,Kenya,-0.469974,35.181874
10173608244938908903,2019-01-29,0,Ghana,5.645759,-0.105223
3412729147397131350,2023-09-16,0,Kenya,-0.224000,35.880000
6888740820673076166,2021-08-09,4210.94483333,Kenya,0.610000,36.800000
6888740820673076166,2021-08-09,4210.94483333,Kenya,0.610000,36.800000
6002857824960866008,2021-08-18,4175.531,Ghana,-0.235111,5.632167
6002857824960866008,2022-03-28,5902.92166667,Ghana,-0.235111,5.632167
12518679614139820510,2021-04-14,6154.73827415,Nigeria,9.076439,7.425385
16388039360858303205,2023-04-03,4669.144,Kenya,-0.220000,35.860000
7888428170914662789,2023-11-03,4806.12,Madagascar,-23.990000,45.120000
14677532269409350870,2022-08-26,0.21666667,Kenya,-0.400000,35.920000
14009020961523231008,2020-10-15,18703.0925,Kenya,0.610000,36.830000
14009020961523231008,2020-10-15,18703.0925,Kenya,0.610000,36.830000
13026966175404302122,2023-03-02,5796.43,Nigeria,6.448858,7.392609
10173608244938908903,2019-06-20,0,Ghana,5.645759,-0.105223
12518679614139820510,2022-05-24,6070.699879,Nigeria,9.076439,7.425385
14677532269409350870,2023-03-08,6794.261,Kenya,-0.400000,35.920000
6707192699788041462,2019-08-04,5579.95,Kenya,-1.232761,36.878509
14009020961523231008,2020-03-20,6712.234,Kenya,0.610000,36.830000
14009020961523231008,2020-03-20,6712.234,Kenya,0.610000,36.830000
14009020961523231008,2021-05-20,0,Kenya,0.610000,36.830000
14009020961523231008,2021-05-20,0,Kenya,0.610000,36.830000
12518679614139820510,2023-01-27,5164.357,Nigeria,9.076439,7.425385
13793139158250075579,2023-04-20,3011.10258333,Madagascar,-25.053564,46.947956
14009020961523231008,2023-07-03,4875.08833333,Kenya,0.610000,36.830000
14009020961523231008,2023-07-03,4875.08833333,Kenya,0.610000,36.830000
12518679614139820510,2021-12-04,5041.85587522,Nigeria,9.076439,7.425385
16388039360858303205,2023-12-01,6621.583,Kenya,-0.220000,35.860000
6707192699788041462,2020-06-25,3639.7,Kenya,-1.232761,36.878509
10173608244938908903,2023-05-14,4053.32,Ghana,5.645759,-0.105223
6002857824960866008,2023-03-09,5481.432,Ghana,-0.235111,5.632167
14009020961523231008,2019-11-04,7475.56590861,Kenya,0.610000,36.830000
14009020961523231008,2019-11-04,7475.56590861,Kenya,0.610000,36.830000
18074720362286236858,2022-04-01,3334.58916667,Ghana,5.645686,0.008678
10173608244938908903,2021-12-07,4835.75,Ghana,5.645759,-0.105223
8080139538662874230,2023-11-06,4720.042,Kenya,-1.451315,36.973008
6002857824960866008,2022-10-14,4718.17783333,Ghana,-0.235111,5.632167
6961463658566967421,2023-02-10,9055.981,Kenya,-0.469974,35.181874
