DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
6002857824960866008,2023-08-01,2842.252,Ghana,-0.235111,5.632167
18074720362286236858,2021-02-28,5399.431,Ghana,5.645686,0.008678
6002857824960866008,2022-07-24,5279.35933333,Ghana,-0.235111,5.632167
18074720362286236858,2021-12-11,961.9775,Ghana,5.645686,0.008678
10173608244938908903,2022-04-25,2836.87825,Ghana,5.645759,-0.105223
18074720362286236858,2021-02-05,4008.30491667,Ghana,5.645686,0.008678
10173608244938908903,2023-03-06,5998.048,Ghana,5.645759,-0.105223
18074720362286236858,2021-04-26,5770.5,Ghana,5.645686,0.008678
10173608244938908903,2023-07-20,4131.84,Ghana,5.645759,-0.105223
10173608244938908903,2019-01-09,0,Ghana,5.645759,-0.105223
18074720362286236858,2021-06-15,4799.06666667,Ghana,5.645686,0.008678
6002857824960866008,2022-11-10,5516.038,Ghana,-0.235111,5.632167
6002857824960866008,2022-02-24,3860.21333333,Ghana,-0.235111,5.632167
18074720362286236858,2021-09-27,5528.47833333,Ghana,5.645686,0.008678
10173608244938908903,2021-12-25,4352.70833333,Ghana,5.645759,-0.105223
10173608244938908903,2019-06-04,0,Ghana,5.645759,-0.105223
10173608244938908903,2021-10-06,-5.08333333,Ghana,5.645759,-0.105223
10173608244938908903,2019-10-05,5148.41666667,Ghana,5.645759,-0.105223
10173608244938908903,2022-06-09,5738.79483333,Ghana,5.645759,-0.105223
18074720362286236858,2023-01-10,4644.70166667,Ghana,5.645686,0.008678
10173608244938908903,2023-08-01,3015.357,Ghana,5.645759,-0.105223
10173608244938908903,2023-02-19,3590.527,Ghana,5.645759,-0.105223
6002857824960866008,2022-03-04,2950.17783333,Ghana,-0.235111,5.632167
10173608244938908903,2021-04-17,4450.25,Ghana,5.645759,-0.105223
10173608244938908903,2021-01-27,4272.08333333,Ghana,5.645759,-0.105223
10173608244938908903,2023-12-20,4778.207,Ghana,5.645759,-0.105223
10173608244938908903,2021-12-01,5398.08333333,Ghana,5.645759,-0.105223
6002857824960866008,2021-08-12,1404.98783333,Ghana,-0.235111,5.632167
10173608244938908903,2022-08-09,3355.020625,Ghana,5.645759,-0.105223
18074720362286236858,2023-05-03,6587.13416667,Ghana,5.645686,0.008678
10173608244938908903,2019-05-20,0,Ghana,5.645759,-0.105223
10173608244938908903,2024-02-25,5495.679,Ghana,5.645759,-0.105223
6002857824960866008,2021-10-06,4015.74233333,Ghana,-0.235111,5.632167
18074720362286236858,2023-02-23,3712.09333333,Ghana,5.645686,0.008678
10173608244938908903,2023-02-08,5221.12,Ghana,5.645759,-0.105223
10173608244938908903,2022-07-10,4914.32908333,Ghana,5.645759,-0.105223
10173608244938908903,2019-11-30,5434.375,Ghana,5.645759,-0.105223
6002857824960866008,2024-06-05,4832.111,Ghana,-0.235111,5.632167
10173608244938908903,2024-05-19,6329.204,Ghana,5.645759,-0.105223
6002857824960866008,2024-02-02,2705.088,Ghana,-0.235111,5.632167
10173608244938908903,2021-03-23,5509.29166667,Ghana,5.645759,-0.105223
18074720362286236858,2023-03-27,5443.20666667,Ghana,5.645686,0.008678
18074720362286236858,2023-09-19,3354.25666667,Ghana,5.645686,0.008678
10173608244938908903,2022-06-02,6450.2275,Ghana,5.645759,-0.105223
10173608244938908903,2023-06-04,4145.322,Ghana,5.645759,-0.105223
10173608244938908903,2019-02-19,0,Ghana,5.645759,-0.105223
18074720362286236858,2022-06-14,586.67416667,Ghana,5.645686,0.008678
18074720362286236858,2021-10-23,4685.875,Ghana,5.645686,0.008678
10173608244938908903,2022-04-29,0,Ghana,5.645759,-0.105223
10173608244938908903,2020-11-05,4845.08333333,Ghana,5.645759,-0.105223
18074720362286236858,2021-01-18,4572.59466667,Ghana,5.645686,0.008678
10173608244938908903,2024-02-24,5430.88,Ghana,5.645759,-0.105223
10173608244938908903,2023-03-03,4151.322,Ghana,5.645759,-0.105223
18074720362286236858,2023-11-20,5313.93333333,Ghana,5.645686,0.008678
10173608244938908903,2021-06-08,5609.08333333,Ghana,5.645759,-0.105223
10173608244938908903,2019-06-30,0,Ghana,5.645759,-0.105223
10173608244938908903,2021-11-18,5636.625,Ghana,5.645759,-0.105223
10173608244938908903,2019-01-08,0,Ghana,5.645759,-0.105223
6002857824960866008,2022-09-22,4423.19733333,Ghana,-0.235111,5.632167
6002857824960866008,2023-07-19,4269.218,Ghana,-0.235111,5.632167
10173608244938908903,2023-12-26,4613.178,Ghana,5.645759,-0.105223
6002857824960866008,2022-11-29,5236.52366667,Ghana,-0.235111,5.632167
18074720362286236858,2021-02-10,5434.70320833,Ghana,5.645686,0.008678
18074720362286236858,2023-10-16,6054.4375,Ghana,5.645686,0.008678
18074720362286236858,2020-01-31,6453.1083549,Ghana,5.645686,0.008678
10173608244938908903,2020-01-02,5476.91666667,Ghana,5.645759,-0.105223
6002857824960866008,2021-07-24,5707.03983333,Ghana,-0.235111,5.632167
18074720362286236858,2022-08-27,0,Ghana,5.645686,0.008678
18074720362286236858,2021-02-12,5182.961125,Ghana,5.645686,0.008678
18074720362286236858,2024-02-21,4716.103,Ghana,5.645686,0.008678
18074720362286236858,2024-06-29,0,Ghana,5.645686,0.008678
10173608244938908903,2021-09-16,3918.91666667,Ghana,5.645759,-0.105223
6002857824960866008,2023-11-19,4276.469,Ghana,-0.235111,5.632167
18074720362286236858,2024-02-08,3310.721,Ghana,5.645686,0.008678
6002857824960866008,2022-06-12,4312.182,Ghana,-0.235111,5.632167
10173608244938908903,2022-08-18,5850.3395,Ghana,5.645759,-0.105223
10173608244938908903,2022-12-09,4875.12408333,Ghana,5.645759,-0.105223
10173608244938908903,2021-05-06,5875.41666667,Ghana,5.645759,-0.105223
10173608244938908903,2022-08-27,1717.82604167,Ghana,5.645759,-0.105223
18074720362286236858,2022-01-07,4471.45166667,Ghana,5.645686,0.008678
6002857824960866008,2021-08-30,2483.157,Ghana,-0.235111,5.632167
10173608244938908903,2019-03-26,0,Ghana,5.645759,-0.105223
6002857824960866008,2022-06-21,4433.799,Ghana,-0.235111,5.632167
6002857824960866008,2022-07-23,4564.24016667,Ghana,-0.235111,5.632167
18074720362286236858,2021-03-31,4634.037125,Ghana,5.645686,0.008678
18074720362286236858,2022-01-28,3883.89083333,Ghana,5.645686,0.008678
6002857824960866008,2023-08-06,2485.957,Ghana,-0.235111,5.632167
10173608244938908903,2021-08-30,2803.91666667,Ghana,5.645759,-0.105223
6002857824960866008,2021-10-29,6018.44416667,Ghana,-0.235111,5.632167
10173608244938908903,2024-02-09,4130.978,Ghana,5.645759,-0.105223
6002857824960866008,2024-01-23,3457.278,Ghana,-0.235111,5.632167
10173608244938908903,2021-09-04,3199.875,Ghana,5.645759,-0.105223
