,58,200,12.86,0,0,-.385
102,2010,66,2000,13.7,3.7546,0,-.264
102,2010,66,2100,13.71,0,0,-.22
102,2010,66,2200,13.72,0,0,-.259
102,2010,66,2300,13.72,0,0,-.281
101,2010,66,2400,13.68,12994,0
102,2010,66,2400,13.73,0,0,-.237
102,2010,67,100,13.73,0,0,-.27
102,2010,67,200,13.73,0,0,-.264
102,2010,67,300,13.74,0,0,-.248
102,2010,67,400,13.75,0,0,-.253
102,2010,67,500,13.75,0,0,-.259
102,2010,67,600,13.77,0,0,-.292
102,2010,67,700,13.77,0,0,-.264
102,2010,67,800,13.78,48.206,0,-.286
102,2010,67,900,13.78,299.08,0,-.264
102,2010,67,1000,13.78,350.03,0,-.259
102,2010,67,1100,13.78,1118,0,-.286
102,2010,67,1200,13.76,922.59,0,-.27
102,2010,67,1300,13.73,1418.3,0,-.242
102,2010,67,1400,13.73,1827.1,0,-.303
102,2010,67,1500,13.72,1542.9,0,-.308
102,2010,67,1600,13.71,1473.2,0,-.281
102,2010,67,1700,13.7,1057.5,0,-.286
102,2010,67,1800,13.7,555.2,0,-.187
102,2010,67,1900,13.7,181.06,0,-.341
102,2010,67,2000,13.73,11.993,0,-.215
102,2010,67,2100,13.06,0,0,-.27
102,2010,67,2200,13.76,0,0,-.27
102,2010,67,2300,13.76,0,0,-.402
101,2010,67,2400,13.06,10805,0
102,2010,67,2400,13.77,0,0,-.589
102,2010,68,100,13.77,0,0,-.573
102,2010,68,200,13.77,0,0,-.562
102,2010,68,300,13.78,0,0,-.27
102,2010,68,400,13.79,0,0,-.242
102,2010,68,500,13.8,0,0,-.264
102,2010,68,600,13.8,0,0,-.463
102,2010,68,700,13.8,0,0,-.551
102,2010,68,800,13.81,75.022,0,-.545
102,2010,68,900,13.45,464.24,0,-.275
102,2010,68,1000,13.63,618.88,0,-.264
102,2010,68,1100,13.62,609.02,0,-.27
102,2010,68,1200,13.39,652.81,0,-.259
102,2010,68,1300,12.46,858.73,0,-.226
102,2010,68,1400,13.34,2344,0,-.248
102,2010,68,1500,13.31,1446.3,0,-.226
102,2010,68,1600,12.37,1032.2,0,-.27
102,2010,68,1700,13.41,1065,0,-.231
102,2010,68,1800,13.2,1114.3,0,-.27
102,2010,68,1900,13.6,522.15,0,-.264
102,2010,68,2000,13.19,12.892,0,-.275
102,2010,68,2100,13.06,0,0,-.27
102,2010,68,2200,12.97,0,0,-.248
102,2010,68,2300,12.9,0,0,-.275
101,2010,68,2400,12.37,10816,0
102,2010,68,2400,12.86,0,0,-.286
102,2010,69,100,12.83,0,0,-.275
102,2010,69,200,12.79,0,0,-.204
102,2010,69,300,12.78,0,0,-.259
102,2010,69,400,12.78,0,0,-.253
102,2010,69,500,12.77,0,0,-.22
102,2010,69,600,12.77,0,0,-.215
102,2010,69,700,12.78,0,0,-.248
102,2010,69,800,12.78,72.274,0,-.237
102,2010,69,900,13.64,302.97,0,-.264
102,2010,69,1000,12.82,469.98,0,-.297
102,2010,69,1100,13.42,449.75,0,-.259
102,2010,69,1200,13.17,484.8,0,-.248
102,2010,69,1300,13.14,527.75,0,-.275
102,2010,69,1400,13.44,506.62,0,-.286
102,2010,69,1500,13.55,492.74,0,-.292
102,2010,69,1600,13.54,536.62,0,-.242
102,2010,69,1700,13.53,892.66,0,-.242
102,2010,69,1800,13.54,1194.2,0,-.264
102,2010,69,1900,13.53,416.68,0,-.226
102,2010,69,2000,13.17,9.1093,0,-.275
