MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-04-02,5898.006,Somalia,3.107191,43.637153
2024-09-21,4198.22,Somalia,3.107191,43.637153
2024-09-16,6060.741,Somalia,3.107191,43.637153
2024-09-17,5789.402,Somalia,3.107191,43.637153
2024-10-09,6559.218,Somalia,3.107191,43.637153
2024-10-13,4671.059,Somalia,3.107191,43.637153
2024-10-24,3886.418,Somalia,3.107191,43.637153
2024-11-07,4576.702,Somalia,3.107191,43.637153
2024-11-10,3743.44,Somalia,3.107191,43.637153
2024-09-20,5042.028,Somalia,3.107191,43.637153
2024-09-29,4466.38,Somalia,3.107191,43.637153
2024-10-05,4991.98,Somalia,3.107191,43.637153
2024-10-28,6693.019,Somalia,3.107191,43.637153
2024-10-23,5983.82,Somalia,3.107191,43.637153
2024-10-27,3928.834,Somalia,3.107191,43.637153
2024-11-05,4963.644,Somalia,3.107191,43.637153
2024-11-25,5471.549,Somalia,3.107191,43.637153
2024-11-24,4614.49,Somalia,3.107191,43.637153
2024-11-23,4615.59,Somalia,3.107191,43.637153
2024-09-19,6533.387,Somalia,3.107191,43.637153
2024-09-24,6875.993,Somalia,3.107191,43.637153
2024-10-07,4295.609,Somalia,3.107191,43.637153
2024-10-12,5738.173,Somalia,3.107191,43.637153
2024-10-16,6981.513,Somalia,3.107191,43.637153
2024-10-20,6180.36,Somalia,3.107191,43.637153
2024-10-26,6231.149,Somalia,3.107191,43.637153
2024-10-30,6854.44,Somalia,3.107191,43.637153
2024-11-08,4659.004,Somalia,3.107191,43.637153
2024-11-13,4678.595,Somalia,3.107191,43.637153
2024-09-18,5686.242,Somalia,3.107191,43.637153
2024-09-27,6709.457,Somalia,3.107191,43.637153
2024-10-01,5052.026,Somalia,3.107191,43.637153
2024-10-02,6026.816,Somalia,3.107191,43.637153
2024-10-06,5400.484,Somalia,3.107191,43.637153
2024-10-17,6508.816,Somalia,3.107191,43.637153
2024-10-22,3686.521,Somalia,3.107191,43.637153
