datetime,ghi,location,latitude,longitude
2024-06-19,3879.585,somalia_location1,3.107191,43.637153
2024-06-20,4411.35,somalia_location1,3.107191,43.637153
2024-06-21,5107.69,somalia_location1,3.107191,43.637153
2024-06-22,5297.728,somalia_location1,3.107191,43.637153
2024-06-23,3539.287,somalia_location1,3.107191,43.637153
2024-06-24,4970.685,somalia_location1,3.107191,43.637153
2024-06-25,4550.829,somalia_location1,3.107191,43.637153
2024-06-26,5178.788,somalia_location1,3.107191,43.637153
2024-06-27,4385.732,somalia_location1,3.107191,43.637153
2024-06-28,4536.731,somalia_location1,3.107191,43.637153
2024-06-29,6729.135,somalia_location1,3.107191,43.637153
2024-06-30,5634.07,somalia_location1,3.107191,43.637153
2024-07-01,5585.376,somalia_location1,3.107191,43.637153
2024-07-02,4099.892,somalia_location1,3.107191,43.637153
2024-07-03,5312.019,somalia_location1,3.107191,43.637153
2024-07-04,4341.034,somalia_location1,3.107191,43.637153
2024-07-05,5890.629,somalia_location1,3.107191,43.637153
2024-07-06,4840.497,somalia_location1,3.107191,43.637153
2024-07-07,5232.245,somalia_location1,3.107191,43.637153
2024-07-08,5063.859,somalia_location1,3.107191,43.637153
2024-07-09,5344.458,somalia_location1,3.107191,43.637153
2024-07-10,3713.342,somalia_location1,3.107191,43.637153
2024-07-11,3871.337,somalia_location1,3.107191,43.637153
2024-07-12,5570.428,somalia_location1,3.107191,43.637153
2024-07-13,4325.218,somalia_location1,3.107191,43.637153
2024-07-14,4137.884,somalia_location1,3.107191,43.637153
2024-07-15,4033.937,somalia_location1,3.107191,43.637153
2024-07-16,1587.091,somalia_location1,3.107191,43.637153
2024-07-17,2987.716,somalia_location1,3.107191,43.637153
2024-07-18,2399.787,somalia_location1,3.107191,43.637153
2024-07-19,3271.026,somalia_location1,3.107191,43.637153
2024-07-20,4839.895,somalia_location1,3.107191,43.637153
2024-07-21,2942.429,somalia_location1,3.107191,43.637153
2024-07-22,6265.968,somalia_location1,3.107191,43.637153
2024-07-23,4955.526,somalia_location1,3.107191,43.637153
2024-07-24,2927.781,somalia_location1,3.107191,43.637153
2024-07-25,3859.64,somalia_location1,3.107191,43.637153
2024-07-26,2075.967,somalia_location1,3.107191,43.637153
2024-07-27,4643.446,somalia_location1,3.107191,43.637153
2024-07-28,6340.419,somalia_location1,3.107191,43.637153
2024-07-29,4832.921,somalia_location1,3.107191,43.637153
2024-07-30,5042.256,somalia_location1,3.107191,43.637153
