Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
"",2kWh/m /day 2 kWh/m /day,,%
01 December '20,1.86 1.83,,1.50
02 December '20,2.27 2.18,,3.96
03 December '20,3.52 2.69,,23.49
04 December '20,2.68 2.85,,-6.56
05 December '20,1.91 2.15,,-12.82
06 December '20,1.28 1.58,,-24.14
07 December '20,1.34 1.76,,-30.99
08 December '20,2.35 2.27,,3.34
09 December '20,1.62 1.47,,9.43
10 December '20,1.33 1.41,,-5.80
11 December '20,1.78 1.65,,7.24
12 December '20,1.11 1.18,,-6.53
13 December '20,1.52 1.72,,-12.81
14 December '20,1.60 1.55,,3.64
15 December '20,1.12 1.24,,-10.46
16 December '20,1.18 1.22,,-2.82
17 December '20,1.91 1.69,,11.49
18 December '20,2.05 2.08,,-1.54
19 December '20,2.40 2.92,,-21.97
20 December '20,2.04 2.43,,-18.75
21 December '20,1.38 2.05,,-49.00
22 December '20,1.56 1.97,,-25.75
23 December '20,1.93 2.14,,-10.58
24 December '20,1.62 1.97,,-21.50
25 December '20,1.92 2.26,,-17.79
26 December '20,1.51 1.62,,-7.36
27 December '20,1.33 1.28,,3.88
28 December '20,1.12 1.10,,1.99
29 December '20,1.17 1.11,,4.64
30 December '20,1.40 1.64,,-17.17
31 December '20,2.87 2.44,,14.92
Average,1.76 1.85,,12.71*
Maximum,3.52 2.92,,-49.00
Minimum,1.11 1.10,,1.50
Day,"GTI (Clean)2kWh/m/day","GTI (Soil)2kWh/m /day","GTI (Monthly)2kWh/m /day","GTI (Clean) vs(Soil)%","GTI (Clean) vs(Monthly)%"
