time,G(i),H_sun,T2m,WS10m,Int
20050108:0709,566.35,22.9,3.83,0.76,0.0
20050108:0809,752.69,28.7,5.99,0.83,0.0
20050108:0909,823.56,31.55,7.87,1.1,0.0
20050108:1009,854.36,31.04,9.19,1.38,0.0
20050108:1109,746.29,27.23,10.17,1.86,0.0
20050108:1209,617.11,20.69,10.68,2.41,0.0
20050108:1309,432.53,12.1,10.68,2.48,0.0
20050108:1409,31.97,2.1,10.08,1.45,0.0
20050108:1509,0.0,0.0,9.15,0.69,0.0
20050108:1609,0.0,0.0,9.12,0.07,0.0
20050108:1709,0.0,0.0,8.46,0.48,0.0
20050108:1809,0.0,0.0,7.49,0.83,0.0
20050108:1909,0.0,0.0,5.1,1.79,0.0
20050108:2009,0.0,0.0,4.85,2.28,0.0
20050108:2109,0.0,0.0,4.77,2.48,0.0
20050108:2209,0.0,0.0,4.67,2.34,0.0
20050108:2309,0.0,0.0,4.28,2.34,0.0
20050109:0009,0.0,0.0,3.89,2.14,0.0
20050109:0109,0.0,0.0,3.67,2.0,0.0
20050109:0209,0.0,0.0,3.13,1.93,0.0
20050109:0309,0.0,0.0,2.79,1.93,0.0
20050109:0409,0.0,0.0,2.64,2.07,0.0
20050109:0509,0.0,0.0,2.48,1.93,0.0
20050109:0609,262.44,14.9,3.74,1.52,0.0
20050109:0709,524.68,22.97,5.79,1.79,0.0
20050109:0809,689.61,28.8,7.76,1.59,0.0
20050109:0909,809.24,31.68,9.49,1.52,0.0
20050109:1009,812.04,31.19,10.87,2.21,0.0
20050109:1109,782.4,27.4,11.65,3.1,0.0
20050109:1209,662.47,20.85,11.73,2.83,0.0
20050109:1309,442.65,12.27,11.67,2.48,0.0
20050109:1409,31.97,2.26,11.05,1.59,0.0
20050109:1509,0.0,0.0,9.46,1.17,0.0
20050109:1609,0.0,0.0,8.64,0.9,0.0
20050109:1709,0.0,0.0,7.97,0.69,0.0
20050109:1809,0.0,0.0,7.09,0.55,0.0
20050109:1909,0.0,0.0,5.88,0.9,0.0
20050109:2009,0.0,0.0,5.47,0.48,0.0
20050109:2109,0.0,0.0,3.9,1.1,0.0
20050109:2209,0.0,0.0,2.66,1.66,0.0
20050109:2309,0.0,0.0,2.55,1.86,0.0
20050110:0009,0.0,0.0,2.75,1.79,0.0
20050110:0109,0.0,0.0,2.94,1.45,0.0
20050110:0209,0.0,0.0,2.85,1.17,0.0
20050110:0309,0.0,0.0,2.49,1.38,0.0
20050110:0409,0.0,0.0,1.94,2.0,0.0
20050110:0509,0.0,0.0,1.51,2.28,0.0
20050110:0609,98.02,14.96,3.08,2.21,0.0
20050110:0709,257.29,23.05,4.94,2.62,0.0
20050110:0809,714.31,28.9,7.23,3.1,0.0
20050110:0909,812.14,31.82,9.18,3.86,0.0
20050110:1009,887.71,31.35,10.66,4.76,0.0
20050110:1109,761.92,27.57,11.58,5.59,0.0
20050110:1209,702.55,21.03,11.98,6.07,0.0
20050110:1309,456.48,12.44,11.9,5.79,0.0
20050110:1409,242.5,2.43,10.83,4.83,0.0
20050110:1509,0.0,0.0,9.37,4.83,0.0
20050110:1609,0.0,0.0,8.57,5.24,0.0
20050110:1709,0.0,0.0,8.03,5.66,0.0
20050110:1809,0.0,0.0,7.51,6.21,0.0
20050110:1909,0.0,0.0,6.98,5.86,0.0
20050110:2009,0.0,0.0,6.72,6.21,0.0
20050110:2109,0.0,0.0,6.58,6.21,0.0
20050110:2209,0.0,0.0,6.36,6.14,0.0
20050110:2309,0.0,0.0,6.26,6.21,0.0
