time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050108:0006,0,0,0,0,0,19.26,1.66,0
20050108:0106,0,0,0,0,0,19.3,1.72,0
20050108:0206,0,0,0,0,0,19.47,0.97,0
20050108:0306,0,0,0,0,0,19.72,0.34,0
20050108:0406,0,0,0,0,0,19.75,0.14,0
20050108:0506,50.14,0,78,0,16,20.03,0.62,0
20050108:0606,123.58,0,169,0,29.65,21.34,0.69,0
20050108:0706,189.57,0,250,0,42.83,21.78,1.1,0
20050108:0806,73.16,0,108,0,54.94,23.15,0.69,0
20050108:0906,273.81,0,360,0,64.33,24,0.83,0
20050108:1006,258.29,0,341,0,67.29,24.5,0.76,0
20050108:1106,347.02,0,457,0,61.72,24.85,1.1,0
20050108:1206,197.65,0,263,0,51.13,24.91,1.72,0
20050108:1306,120.05,0,167,0,38.57,25.08,1.52,0
20050108:1406,77.45,0,114,0,25.19,24.75,1.17,0
20050108:1506,58.54,0,90,0,11.45,24.18,1.03,0
20050108:1606,0,0,0,0,-2.41,23.38,2.07,0
20050108:1706,0,0,0,0,0,22.36,2.76,0
20050108:1806,0,0,0,0,0,21.84,2.76,0
20050108:1906,0,0,0,0,0,21.68,2.34,0
20050108:2006,0,0,0,0,0,21.2,2.41,0
20050108:2106,0,0,0,0,0,21.04,2.41,0
20050108:2206,0,0,0,0,0,20.97,2.34,0
20050108:2306,0,0,0,0,0,20.82,2.34,0
20050109:0006,0,0,0,0,0,20.75,2.21,0
20050109:0106,0,0,0,0,0,20.01,1.93,0
20050109:0206,0,0,0,0,0,19.61,2,0
20050109:0306,0,0,0,0,0,19.49,1.93,0
20050109:0406,0,0,0,0,0,19.52,1.66,0
20050109:0506,36.78,0,61,0,15.93,20.23,1.17,0
20050109:0606,134.68,0,183,0,29.59,21.99,0.83,0
20050109:0706,120.32,0,166,0,42.8,23.18,1.38,0
20050109:0806,123.72,0,171,0,54.95,24.37,1.52,0
20050109:0906,101.51,0,144,0,64.4,25.14,1.72,0
20050109:1006,143.66,0,196,0,67.44,24.92,1.66,0
20050109:1106,126.53,0,175,0,61.88,25,1.45,0
20050109:1206,106.97,0,151,0,51.29,25.38,1.52,0
20050109:1306,99.79,0,142,0,38.7,25.45,1.93,0
20050109:1406,67.05,0,101,0,25.31,25.26,2.28,0
20050109:1506,57.64,0,89,0,11.56,24.86,1.93,0
20050109:1606,0,0,0,0,-2.32,23.91,1.45,0
20050109:1706,0,0,0,0,0,22.92,0.97,0
20050109:1806,0,0,0,0,0,23.73,0.34,0
20050109:1906,0,0,0,0,0,21.49,1.24,0
20050109:2006,0,0,0,0,0,20.05,1.86,0
20050109:2106,0,0,0,0,0,19.92,2.07,0
20050109:2206,0,0,0,0,0,19.84,1.72,0
20050109:2306,0,0,0,0,0,22.48,0.76,0
20050110:0006,0,0,0,0,0,19.05,1.66,0
20050110:0106,0,0,0,0,0,19.24,2.21,0
20050110:0206,0,0,0,0,0,19.24,2.28,0
20050110:0306,0,0,0,0,0,18.86,1.93,0
20050110:0406,0,0,0,0,0,18.33,1.31,0
20050110:0506,18.18,0,36,0,15.85,19.33,1.38,0
20050110:0606,54.51,0,84,0,29.54,21.75,1.24,0
20050110:0706,224.86,0,294,0,42.77,22.35,1.45,0
20050110:0806,142,0,193,0,54.96,23.63,1.38,0
20050110:0906,109.01,0,153,0,64.48,24.38,1.17,0
20050110:1006,85.43,0,124,0,67.59,24.75,1.03,0
20050110:1106,143.73,0,195,0,62.05,24.09,2.28,0
20050110:1206,155.55,0,209,0,51.44,23.5,2.21,0
20050110:1306,111.06,0,155,0,38.84,23.64,1.24,0
20050110:1406,145.79,0,198,0,25.42,23.89,1.24,0
20050110:1506,51.63,0,81,0,11.66,23.67,1.31,0
20050110:1606,0,0,0,0,-2.23,22.78,1.66,0
20050110:1706,0,0,0,0,0,21.88,2,0
20050110:1806,0,0,0,0,0,21.58,2.41,0
20050110:1906,0,0,0,0,0,21.55,3.17,0
20050110:2006,0,0,0,0,0,21.62,3.24,0
20050110:2106,0,0,0,0,0,21.6,2.9,0
20050110:2206,0,0,0,0,0,21.31,1.86,0
20050110:2306,0,0,0,0,0,20.89,0.97,0
20050111:0006,0,0,0,0,0,19.83,2,0
20050111:0106,0,0,0,0,0,19.86,2.97,0
20050111:0206,0,0,0,0,0,19.28,2.69,0
20050111:0306,0,0,0,0,0,19.45,1.66,0
20050111:0406,0,0,0,0,0,18.98,1.17,0
20050111:0506,7.99,0,21,0,15.78,19.64,2.28,0
20050111:0606,143.95,0,193,0,29.48,21.06,1.66,0
20050111:0706,31.82,0,55,0,42.74,22.42,1.66,0
20050111:0806,179.35,0,239,0,54.97,23.11,0.97,0
20050111:0906,294.48,0,388,0,64.56,24.22,0.62,0
20050111:1006,166.07,0,224,0,67.75,24.32,0.76,0
20050111:1106,141.91,0,194,0,62.23,24.8,1.24,0
20050111:1206,107.31,0,151,0,51.6,24.81,1.66,0
20050111:1306,100.59,0,142,0,38.97,23.52,1.31,0
