# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-09-01T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 29.8876
# Longitude (positive East, ISO 19115): 32.4604
# Altitude (m): 0.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-10-13T00:00:00.0/2023-10-14T00:00:00.0;7905.5244;5722.8906;4173.3677;1549.5232;6991.7144;5683.5435;4089.6323;1593.9111;6885.7930;0.9812
2023-10-14T00:00:00.0/2023-10-15T00:00:00.0;7851.8350;5703.4619;4307.8906;1395.5710;7269.6973;4398.0073;2094.6318;2303.3757;3442.5850;0.9819
2023-10-15T00:00:00.0/2023-10-16T00:00:00.0;7798.1313;5599.9312;4137.2930;1462.6382;7077.3774;4462.0796;2176.5818;2285.4976;3879.2043;0.9823
2023-10-16T00:00:00.0/2023-10-17T00:00:00.0;7744.4175;5678.5605;4496.0356;1182.5249;7740.6797;5415.5996;3983.5999;1431.9995;6840.4204;0.9826
2023-10-17T00:00:00.0/2023-10-18T00:00:00.0;7690.8589;5539.7095;4148.2466;1391.4630;7122.4980;4734.5952;2567.5662;2167.0291;4887.6055;0.9826
2023-10-18T00:00:00.0/2023-10-19T00:00:00.0;7637.3501;5534.2603;4245.1460;1289.1146;7340.3657;4967.0381;3235.4929;1731.5452;5631.6523;0.9830
2023-10-19T00:00:00.0/2023-10-20T00:00:00.0;7583.9409;5547.4263;4432.4375;1114.9890;7789.2300;5401.4370;4196.9277;1204.5094;7309.8975;0.9833
2023-10-20T00:00:00.0/2023-10-21T00:00:00.0;7530.7095;5574.5415;4541.1748;1033.3669;8060.0327;5574.5415;4541.1748;1033.3669;8060.0327;0.9833
2023-10-21T00:00:00.0/2023-10-22T00:00:00.0;7477.5986;5526.6982;4574.4233;952.2750;8181.6899;5199.5562;3852.1382;1347.4178;6838.3682;0.9837
2023-10-22T00:00:00.0/2023-10-23T00:00:00.0;7424.6587;5312.6113;3941.5979;1371.0132;6955.6250;5312.6113;3941.5979;1371.0132;6955.6250;0.9840
2023-10-23T00:00:00.0/2023-10-24T00:00:00.0;7371.9619;5067.3730;3303.1052;1764.2677;5734.8140;5067.3730;3303.1052;1764.2677;5734.8140;0.9819
2023-10-24T00:00:00.0/2023-10-25T00:00:00.0;7319.4614;4929.5850;3063.7302;1865.8547;5263.6768;4929.5850;3063.7302;1865.8547;5263.6768;0.9830
2023-10-25T00:00:00.0/2023-10-26T00:00:00.0;7267.2031;5168.2803;3795.1138;1373.1667;6745.0391;5168.2803;3795.1138;1373.1667;6745.0391;0.9833
2023-10-26T00:00:00.0/2023-10-27T00:00:00.0;7215.2114;5159.7832;3978.8008;1180.9822;7103.0703;5159.7832;3978.8008;1180.9822;7103.0703;0.9840
2023-10-27T00:00:00.0/2023-10-28T00:00:00.0;7163.5610;4702.4902;2802.9150;1899.5754;4820.7607;1956.7429;149.2696;1807.4734;239.9358;0.9844
2023-10-28T00:00:00.0/2023-10-29T00:00:00.0;7112.2407;4671.7578;2768.7510;1903.0070;4838.4673;4515.7935;2554.8064;1960.9872;4435.9272;0.9847
2023-10-29T00:00:00.0/2023-10-30T00:00:00.0;7061.2222;4597.6807;2706.8064;1890.8743;4762.0562;4597.6807;2706.8064;1890.8743;4762.0562;0.9802
2023-10-30T00:00:00.0/2023-10-31T00:00:00.0;7010.5654;4789.2212;3324.2205;1465.0007;5984.5347;4446.3438;2700.2820;1746.0619;4994.0757;0.9809
2023-10-31T00:00:00.0/2023-11-01T00:00:00.0;6960.3569;4834.1611;3539.3792;1294.7822;6487.4434;4040.9272;2388.2727;1652.6545;4289.2017;0.9809
2023-11-01T00:00:00.0/2023-11-02T00:00:00.0;6910.5171;4740.7925;3204.8147;1535.9777;5803.7607;4646.9507;3047.8352;1599.1155;5538.7588;0.9812
2023-11-02T00:00:00.0/2023-11-03T00:00:00.0;6861.1108;4713.9766;3333.9170;1380.0598;6164.7144;4518.6284;3149.9072;1368.7211;5701.3794;0.9816
2023-11-03T00:00:00.0/2023-11-04T00:00:00.0;6812.2036;4783.1235;3702.5977;1080.5259;6977.6743;4708.8032;3659.9307;1048.8728;6717.7568;0.9819
2023-11-04T00:00:00.0/2023-11-05T00:00:00.0;6763.8110;4777.9360;3654.4202;1123.5157;6906.6167;4777.9360;3654.4202;1123.5157;6906.6167;0.9819
2023-11-05T00:00:00.0/2023-11-06T00:00:00.0;6715.8887;4743.4331;3643.1233;1100.3099;6940.9443;4708.8413;3572.0762;1136.7651;6837.6929;0.9823
2023-11-06T00:00:00.0/2023-11-07T00:00:00.0;6668.4976;4943.9912;4137.8730;806.1182;8098.8447;4943.9912;4137.8730;806.1182;8098.8447;0.9826
2023-11-07T00:00:00.0/2023-11-08T00:00:00.0;6621.7090;4890.0879;4095.5110;794.5770;8039.5679;4890.0879;4095.5110;794.5770;8039.5679;0.9830
2023-11-08T00:00:00.0/2023-11-09T00:00:00.0;6575.4805;4770.1245;3807.0537;963.0706;7438.6699;4770.1245;3807.0537;963.0706;7438.6699;0.9833
2023-11-09T00:00:00.0/2023-11-10T00:00:00.0;6529.9141;4700.2495;3722.6897;977.5600;7278.7065;4700.2495;3722.6897;977.5600;7278.7065;0.9833
2023-11-10T00:00:00.0/2023-11-11T00:00:00.0;6484.9858;4703.3247;3795.6265;907.6984;7505.1362;4551.9287;3437.1353;1114.7932;6975.5718;0.9812
2023-11-11T00:00:00.0/2023-11-12T00:00:00.0;6440.6943;4381.4570;3097.1521;1284.3049;6002.4575;2224.1152;296.4958;1927.6195;543.3913;0.9819
