latitude,longitude,timestamp,Observation period,ghi_extra,ghi_clear,bhi_clear,dhi_clear,dni_clear,ghi,bhi,dhi,dni,Reliability
0.0,34.0,2024-10-08T00:00:00Z,2024-10-08T00:00:00.0/2024-10-09T00:00:00.0,431.9976791666666,312.4434625,232.32125,80.12220833333333,314.64060416666666,272.93784583333337,174.2782,98.65964583333333,207.71722499999998,0.9844
0.0,34.0,2024-10-09T00:00:00Z,2024-10-09T00:00:00.0/2024-10-10T00:00:00.0,431.9272875,311.55305833333335,226.99304166666664,84.56000833333333,301.7362875,271.729125,152.6055,119.123625,186.63301666666666,0.9844
0.0,34.0,2024-10-10T00:00:00Z,2024-10-10T00:00:00.0/2024-10-11T00:00:00.0,431.83902916666665,312.387675,232.45485416666668,79.9328125,309.36792083333336,231.20251666666664,123.21072500000001,107.99179166666666,161.27285833333335,0.9844
0.0,34.0,2024-10-11T00:00:00Z,2024-10-11T00:00:00.0/2024-10-12T00:00:00.0,431.73347916666665,311.1083375,228.31044583333335,82.79789166666667,305.5292166666667,290.97621666666663,201.98276666666666,88.99345,255.88767499999997,0.9844
0.0,34.0,2024-10-12T00:00:00Z,2024-10-12T00:00:00.0/2024-10-13T00:00:00.0,431.6097,313.05991666666665,233.17598333333333,79.88393333333333,312.66174166666667,309.67212083333334,230.40059583333334,79.271525,304.43565,0.9844
0.0,34.0,2024-10-13T00:00:00Z,2024-10-13T00:00:00.0/2024-10-14T00:00:00.0,431.4680166666667,314.9751791666667,242.20074583333334,72.77444583333333,329.23172916666664,309.32515416666666,230.19447916666664,79.13067083333333,313.87880416666667,0.9844
0.0,34.0,2024-10-14T00:00:00Z,2024-10-14T00:00:00.0/2024-10-15T00:00:00.0,431.30952916666666,315.60164583333335,246.2507916666667,69.35085416666666,336.1727916666667,218.20625833333335,142.1732375,76.033025,196.25175000000002,0.9847
0.0,34.0,2024-10-15T00:00:00Z,2024-10-15T00:00:00.0/2024-10-16T00:00:00.0,431.1348458333334,319.32727083333333,261.70570833333335,57.62158333333333,363.7696125,309.39017916666666,243.949075,65.4411125,331.8002125,0.9795
0.0,34.0,2024-10-16T00:00:00Z,2024-10-16T00:00:00.0/2024-10-17T00:00:00.0,430.94323749999995,310.8707083333333,229.75734583333335,81.11337916666666,310.77004166666666,241.9199625,126.5666,115.3533625,143.06114583333334,0.9795
0.0,34.0,2024-10-17T00:00:00Z,2024-10-17T00:00:00.0/2024-10-18T00:00:00.0,430.73515,310.2171,226.77453749999998,83.44255416666667,307.04508333333337,267.4502166666667,172.320475,95.12972916666666,202.73435416666666,0.9847
0.0,34.0,2024-10-18T00:00:00Z,2024-10-18T00:00:00.0/2024-10-19T00:00:00.0,430.51090416666665,313.964825,240.621175,73.34365833333334,328.9280375,282.14624166666664,188.8484083333333,93.29782916666666,237.92634999999999,0.9847
0.0,34.0,2024-10-19T00:00:00Z,2024-10-19T00:00:00.0/2024-10-20T00:00:00.0,430.2720125,316.01629583333334,252.72637916666667,63.28991250000001,348.7761625,274.825175,184.71883333333335,90.10633333333334,217.18469166666668,0.9844
0.0,34.0,2024-10-20T00:00:00Z,2024-10-20T00:00:00.0/2024-10-21T00:00:00.0,430.01831250000004,308.123575,224.97709166666667,83.14648749999999,306.57212499999997,277.5483208333333,178.11818333333335,99.43012499999999,224.3019416666667,0.9844
0.0,34.0,2024-10-21T00:00:00Z,2024-10-21T00:00:00.0/2024-10-22T00:00:00.0,429.7497166666667,310.93676666666664,233.00486249999997,77.93191666666667,314.5092583333333,283.0247583333333,189.19063333333335,93.83412499999999,236.49080416666666,0.9844
0.0,34.0,2024-10-22T00:00:00Z,2024-10-22T00:00:00.0/2024-10-23T00:00:00.0,429.4668791666666,310.5060833333333,227.73156666666668,82.77451666666667,308.2905875,309.62933333333336,225.97621666666666,83.65312083333333,303.22109166666667,0.9844
0.0,34.0,2024-10-23T00:00:00Z,2024-10-23T00:00:00.0/2024-10-24T00:00:00.0,429.1702083333333,310.71345833333334,233.49778333333333,77.21567083333333,316.7049958333333,293.060425,195.36015,97.70027499999999,260.1232708333333,0.9844
0.0,34.0,2024-10-24T00:00:00Z,2024-10-24T00:00:00.0/2024-10-25T00:00:00.0,428.8601875,311.9544458333333,238.44008333333332,73.51435416666666,326.8476375,255.8215125,143.8524375,111.96907499999999,185.54150416666667,0.9844
0.0,34.0,2024-10-25T00:00:00Z,2024-10-25T00:00:00.0/2024-10-26T00:00:00.0,428.53552083333335,310.91807083333333,232.58315000000002,78.33490833333333,320.53377083333334,296.62205,202.92594583333334,93.69609583333333,277.63596666666666,0.9844
0.0,34.0,2024-10-26T00:00:00Z,2024-10-26T00:00:00.0/2024-10-27T00:00:00.0,428.2032458333333,312.8119708333333,243.29524583333333,69.51671666666667,332.39809166666663,260.492575,138.6607875,121.8317875,184.9216125,0.984
