timestamp,latitude,longitude,GHI,DNI,DHI
2024-08-26,3.0,32.0,6.11,-999.0,-999.0
2024-08-27,3.0,32.0,5.65,-999.0,-999.0
2024-08-28,3.0,32.0,6.05,-999.0,-999.0
2024-08-29,3.0,32.0,5.89,-999.0,-999.0
2024-08-30,3.0,32.0,5.48,-999.0,-999.0
2024-08-31,3.0,32.0,3.87,-999.0,-999.0
2024-09-01,3.0,32.0,3.9,-999.0,-999.0
2024-09-02,3.0,32.0,5.9,-999.0,-999.0
2024-09-03,3.0,32.0,6.87,-999.0,-999.0
2024-09-04,3.0,32.0,4.9,-999.0,-999.0
2024-09-05,3.0,32.0,6.18,-999.0,-999.0
2024-09-06,3.0,32.0,6.17,-999.0,-999.0
2024-09-07,3.0,32.0,6.67,-999.0,-999.0
2024-09-08,3.0,32.0,6.17,-999.0,-999.0
2024-09-09,3.0,32.0,6.75,-999.0,-999.0
2024-09-10,3.0,32.0,6.45,-999.0,-999.0
2024-09-11,3.0,32.0,6.71,-999.0,-999.0
2024-09-12,3.0,32.0,6.85,-999.0,-999.0
2024-09-13,3.0,32.0,6.86,-999.0,-999.0
2024-09-14,3.0,32.0,5.46,-999.0,-999.0
2024-09-15,3.0,32.0,5.88,-999.0,-999.0
2024-09-16,3.0,32.0,6.07,-999.0,-999.0
2024-09-17,3.0,32.0,6.08,-999.0,-999.0
2024-09-18,3.0,32.0,6.97,-999.0,-999.0
2024-09-19,3.0,32.0,6.72,-999.0,-999.0
2024-09-20,3.0,32.0,4.53,-999.0,-999.0
2024-09-21,3.0,32.0,5.84,-999.0,-999.0
2024-09-22,3.0,32.0,6.51,-999.0,-999.0
2024-09-23,3.0,32.0,5.35,-999.0,-999.0
2024-09-24,3.0,32.0,6.7,-999.0,-999.0
2024-09-25,3.0,32.0,5.24,-999.0,-999.0
2024-09-26,3.0,32.0,6.51,-999.0,-999.0
2024-09-27,3.0,32.0,6.23,-999.0,-999.0
2024-09-28,3.0,32.0,5.86,-999.0,-999.0
2024-09-29,3.0,32.0,3.37,-999.0,-999.0
2024-09-30,3.0,32.0,1.87,-999.0,-999.0
2024-10-01,3.0,32.0,5.99,-999.0,-999.0
2024-10-02,3.0,32.0,4.39,-999.0,-999.0
2024-10-03,3.0,32.0,6.96,-999.0,-999.0
2024-10-04,3.0,32.0,6.45,-999.0,-999.0
2024-10-05,3.0,32.0,6.59,-999.0,-999.0
2024-10-06,3.0,32.0,3.12,-999.0,-999.0
2024-10-07,3.0,32.0,4.92,-999.0,-999.0
2024-10-08,3.0,32.0,6.58,-999.0,-999.0
2024-10-09,3.0,32.0,6.15,-999.0,-999.0
2024-10-10,3.0,32.0,5.56,-999.0,-999.0
2024-10-11,3.0,32.0,-999.0,-999.0,-999.0
2024-10-12,3.0,32.0,6.45,-999.0,-999.0
2024-10-13,3.0,32.0,6.08,-999.0,-999.0
2024-10-14,3.0,32.0,5.84,-999.0,-999.0
2024-10-15,3.0,32.0,5.22,-999.0,-999.0
2024-10-16,3.0,32.0,5.4,-999.0,-999.0
2024-10-17,3.0,32.0,4.83,-999.0,-999.0
2024-10-18,3.0,32.0,5.23,-999.0,-999.0
2024-10-19,3.0,32.0,5.26,-999.0,-999.0
2024-10-20,3.0,32.0,3.98,-999.0,-999.0
2024-10-21,3.0,32.0,3.05,-999.0,-999.0
2024-10-22,3.0,32.0,5.39,-999.0,-999.0
2024-10-23,3.0,32.0,5.97,-999.0,-999.0
2024-10-24,3.0,32.0,6.39,-999.0,-999.0
2024-10-25,3.0,32.0,6.18,-999.0,-999.0
2024-10-26,3.0,32.0,5.72,-999.0,-999.0
2024-10-27,3.0,32.0,5.32,-999.0,-999.0
2024-10-28,3.0,32.0,5.02,-999.0,-999.0
2024-10-29,3.0,32.0,6.05,-999.0,-999.0
2024-10-30,3.0,32.0,6.46,-999.0,-999.0
2024-10-31,3.0,32.0,5.93,-999.0,-999.0
2024-11-01,3.0,32.0,4.71,-999.0,-999.0
2024-11-02,3.0,32.0,5.97,-999.0,-999.0
2024-11-03,3.0,32.0,5.77,-999.0,-999.0
2024-11-04,3.0,32.0,5.27,-999.0,-999.0
2024-11-05,3.0,32.0,2.58,-999.0,-999.0
2024-11-06,3.0,32.0,6.09,-999.0,-999.0
2024-11-07,3.0,32.0,4.82,-999.0,-999.0
2024-11-08,3.0,32.0,6.58,-999.0,-999.0
2024-11-09,3.0,32.0,6.76,-999.0,-999.0
2024-11-10,3.0,32.0,5.56,-999.0,-999.0
2024-11-11,3.0,32.0,5.34,-999.0,-999.0
2024-11-12,3.0,32.0,5.52,-999.0,-999.0
2024-11-13,3.0,32.0,6.28,-999.0,-999.0
2024-11-14,3.0,32.0,5.46,-999.0,-999.0
2024-11-15,3.0,32.0,5.57,-999.0,-999.0
2024-11-16,3.0,32.0,5.75,-999.0,-999.0
2024-11-17,3.0,32.0,5.6,-999.0,-999.0
2024-11-18,3.0,32.0,6.36,-999.0,-999.0
