MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-09-16,6046.899,Kenya,-0.224000,35.880000
2024-09-16,6325.314,Kenya,-0.400000,35.920000
2024-09-16,-4.918,Kenya,-0.227185,35.884984
2024-09-16,5040.152,Kenya,-1.494448,37.057094
2024-09-16,4539.929,Kenya,-1.451315,36.973008
2024-09-16,7470.189,Kenya,-0.220000,35.860000
2024-09-27,5500.094,Kenya,-0.220000,35.860000
2024-09-27,4531.174,Kenya,-1.491302,37.052862
2024-09-27,4687.74,Kenya,-1.451315,36.973008
2024-09-27,5924.104,Kenya,-0.220000,35.860000
2024-09-27,4622.273,Kenya,-1.494448,37.057094
2024-09-27,6720.742,Kenya,-0.469974,35.181874
2024-09-27,5939.432,Kenya,-1.451111,36.975687
2023-05-12,6483.846,Kenya,-0.220000,35.860000
2024-05-17,4812.668,Kenya,-1.491302,37.052862
2018-07-11,0,Kenya,0.610000,36.830000
2019-11-14,3873.097825,Kenya,-0.469974,35.181874
2023-12-07,3636.267,Kenya,-0.469974,35.181874
2021-04-22,2.655,Kenya,-0.270000,35.850000
2023-01-27,6533.596,Kenya,-0.982000,37.053900
2023-11-21,0,Kenya,-1.451111,36.975687
2019-06-26,0,Kenya,0.610000,36.830000
2020-08-08,3484.75,Kenya,-1.232761,36.878509
2021-09-29,8426.252775,Kenya,-0.469974,35.181874
2017-07-17,0,Kenya,0.610000,36.830000
2023-10-30,4436.975,Kenya,-0.982000,37.053900
2023-10-17,0,Kenya,-1.494448,37.057094
2021-12-30,3942.685,Kenya,-0.220000,35.860000
2023-05-15,6227.047,Kenya,-0.220000,35.860000
2023-01-06,7076.022,Kenya,-0.400000,35.920000
2020-06-03,5379.18566667,Kenya,0.610000,36.800000
2023-12-09,7621.156,Kenya,-0.469974,35.181874
2022-12-12,5858.6025,Kenya,-0.400000,35.920000
2023-08-13,6089.868,Kenya,-0.220000,35.860000
2020-06-07,13134.464,Kenya,0.610000,36.830000
2021-11-26,3952.355,Kenya,-0.400000,35.920000
2023-12-13,6807.40483333,Kenya,0.610000,36.830000
2021-04-30,5984.39083333,Kenya,-0.270000,35.850000
2023-12-13,4182.375,Kenya,-1.491302,37.052862
2023-05-16,5704.888,Kenya,-0.469974,35.181874
2019-10-07,7036.4545,Kenya,-0.469974,35.181874
2024-05-15,4432.56833333,Kenya,-1.451111,36.975687
2022-11-06,5432.40333333,Kenya,-0.220000,35.860000
