# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 1.7153
# Longitude (positive East, ISO 19115): 33.6186
# Altitude (m): 1131.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-03-21T00:00:00.0/2020-03-22T00:00:00.0;10484.6768;7788.1416;6421.1694;1366.9723;8773.0713;6697.3848;3899.3154;2798.0696;4934.4165;0.9844
2020-03-22T00:00:00.0/2020-03-23T00:00:00.0;10481.3115;7928.0913;6817.6885;1110.4028;9450.5654;7356.5000;4991.8911;2364.6086;6713.7744;0.9844
2020-03-23T00:00:00.0/2020-03-24T00:00:00.0;10477.4658;7994.0596;7144.0132;850.0460;10032.7363;7274.3481;5572.0020;1702.3463;7102.2217;0.9840
2020-03-24T00:00:00.0/2020-03-25T00:00:00.0;10473.0312;7770.0249;6588.8726;1181.1525;9050.6240;6828.1021;5514.3594;1313.7428;7070.0459;0.9847
2020-03-25T00:00:00.0/2020-03-26T00:00:00.0;10468.1240;7763.8765;6739.0806;1024.7958;9340.3047;6576.9590;5018.2397;1558.7194;6210.5728;0.9847
2020-03-26T00:00:00.0/2020-03-27T00:00:00.0;10462.7529;7391.5356;5538.0347;1853.5010;7365.1436;6768.1201;4147.2065;2620.9136;5369.6377;0.9844
2020-03-27T00:00:00.0/2020-03-28T00:00:00.0;10456.8359;7305.6284;5259.8340;2045.7944;6949.5171;4624.0659;2274.9326;2349.1335;3119.6907;0.9844
2020-03-28T00:00:00.0/2020-03-29T00:00:00.0;10450.3760;7419.5498;5584.7227;1834.8270;7392.4980;4934.5537;2003.7928;2930.7607;2338.1970;0.9844
2020-03-29T00:00:00.0/2020-03-30T00:00:00.0;10443.5283;7246.6836;5045.5464;2201.1370;6615.7891;4652.7285;1129.0906;3523.6379;1513.7449;0.9840
2020-03-30T00:00:00.0/2020-03-31T00:00:00.0;10436.1514;7839.3052;6854.1504;985.1550;9540.2705;7603.7632;6414.7231;1189.0399;8665.7520;0.9840
2020-03-31T00:00:00.0/2020-04-01T00:00:00.0;10428.2822;7647.6953;6065.3770;1582.3180;8206.2676;7230.7573;5026.8281;2203.9294;6783.8408;0.9840
2020-04-01T00:00:00.0/2020-04-02T00:00:00.0;10419.9688;7972.7656;7007.8159;964.9499;9786.6279;7578.6909;5523.7002;2054.9907;8067.2373;0.9840
2020-04-02T00:00:00.0/2020-04-03T00:00:00.0;10411.1992;7907.2148;6867.0698;1040.1450;9565.4189;7856.9170;6784.9810;1071.9362;9299.5654;0.9840
2020-04-03T00:00:00.0/2020-04-04T00:00:00.0;10401.9639;7847.5132;6793.9922;1053.5211;9493.0537;7350.4731;5546.7734;1803.6996;7828.2563;0.9840
2020-04-04T00:00:00.0/2020-04-05T00:00:00.0;10392.3418;7559.6948;5881.3760;1678.3191;7945.5718;7091.0835;4273.7651;2817.3184;6018.8677;0.9837
2020-04-05T00:00:00.0/2020-04-06T00:00:00.0;10382.2061;7671.3662;6134.7593;1536.6067;8342.1055;6926.4048;4067.1194;2859.2854;5658.7778;0.9840
2020-04-06T00:00:00.0/2020-04-07T00:00:00.0;10371.6885;7702.5146;6268.8726;1433.6421;8591.7373;7065.6753;4273.1709;2792.5044;6180.9746;0.9840
2020-04-07T00:00:00.0/2020-04-08T00:00:00.0;10360.8145;7752.3721;6604.0938;1148.2786;9142.1191;7611.4775;6299.3613;1312.1162;8670.6348;0.9837
2020-04-08T00:00:00.0/2020-04-09T00:00:00.0;10349.4902;7884.4126;6956.8281;927.5847;9765.0928;7744.1777;6587.8950;1156.2830;9345.0205;0.9837
2020-04-09T00:00:00.0/2020-04-10T00:00:00.0;10337.7266;7466.2837;5648.3979;1817.8860;7587.3999;6521.1914;3067.9111;3453.2803;4033.8003;0.9840
2020-04-10T00:00:00.0/2020-04-11T00:00:00.0;10325.6963;7289.0068;5265.7603;2023.2468;7006.4888;6283.7852;3366.7090;2917.0762;4985.8428;0.9837
2020-04-11T00:00:00.0/2020-04-12T00:00:00.0;10313.2539;7517.7266;5976.5444;1541.1821;8092.9243;7017.5322;4947.0283;2070.5039;6496.4370;0.9837
2020-04-12T00:00:00.0/2020-04-13T00:00:00.0;10300.4473;7439.4751;5778.3613;1661.1138;7795.0820;5703.2017;2165.8323;3537.3691;3142.6545;0.9837
2020-04-13T00:00:00.0/2020-04-14T00:00:00.0;10287.3438;7208.0503;5068.6045;2139.4463;6708.4321;5132.3418;1724.6802;3407.6616;2347.7754;0.9833
2020-04-14T00:00:00.0/2020-04-15T00:00:00.0;10273.8438;7224.4106;5200.8179;2023.5927;6896.0010;6318.0264;3249.8372;3068.1892;4186.0439;0.9837
2020-04-15T00:00:00.0/2020-04-16T00:00:00.0;10260.0693;7457.4414;5977.8369;1479.6045;8177.3062;6911.7812;5078.4272;1833.3541;6468.8618;0.9837
2020-04-16T00:00:00.0/2020-04-17T00:00:00.0;10245.9844;7591.8525;6521.5205;1070.3322;9117.4424;6690.1230;4541.8457;2148.2769;6307.5752;0.9837
2020-04-17T00:00:00.0/2020-04-18T00:00:00.0;10231.6719;7539.1514;6441.2524;1097.8989;8933.2646;6781.5161;4167.1162;2614.3997;5487.5640;0.9833
2020-04-18T00:00:00.0/2020-04-19T00:00:00.0;10217.0361;7417.8452;6050.4873;1367.3582;8331.3506;4536.4414;1656.6031;2879.8384;2466.8208;0.9729
