Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2021-03-28,25.48,25.58,0.0,7.07,7.11,6.98,-0.47,1.3,2.03,2.81,-38.31
2021-03-29,25.79,26.29,2.6,5.24,5.26,5.15,-0.44,1.84,2.64,2.74,-3.69
2021-03-30,22.65,26.28,0.4,5.44,5.46,4.9,-0.42,9.87,2.93,3.03,-3.33
2021-03-31,22.19,25.62,1.4,4.94,4.96,4.26,-0.3,13.78,2.68,2.65,1.29
2021-04-01,24.92,26.05,0.2,7.41,7.43,6.81,-0.29,8.01,1.79,2.75,-53.19
2021-04-02,23.42,24.98,0.0,5.19,5.2,4.24,-0.38,18.17,2.88,2.53,12.42
2021-04-03,22.8,24.18,19.8,5.04,5.06,5.72,-0.37,-13.51,1.81,2.57,-41.82
2021-04-04,22.88,25.53,4.4,5.01,5.04,5.37,-0.46,-7.02,2.14,2.51,-17.08
2021-04-05,22.23,23.98,7.0,4.83,4.84,5.53,-0.33,-14.66,1.79,2.04,-13.66
2021-04-06,23.27,23.46,1.4,7.07,7.09,7.09,-0.36,-0.28,1.85,2.25,-21.76
2021-04-07,23.3,24.94,3.8,6.15,6.17,7.31,-0.35,-18.93,1.6,1.7,-5.8
2021-04-08,24.35,25.79,0.6,6.21,6.23,6.88,-0.32,-10.79,2.3,2.61,-13.52
2021-04-09,24.18,25.13,26.4,6.53,6.56,7.0,-0.41,-7.22,1.73,2.57,-48.47
2021-04-10,22.65,25.06,0.4,6.58,6.6,6.43,-0.34,2.23,2.91,2.21,24.07
2021-04-11,23.21,24.7,0.0,6.58,6.6,6.5,-0.4,1.2,1.91,2.7,-41.23
2021-04-12,23.49,24.29,2.0,5.76,5.78,6.37,-0.44,-10.65,2.4,2.85,-18.89
2021-04-13,22.19,23.66,0.2,5.81,5.83,5.72,-0.35,1.51,2.89,2.75,4.65
2021-04-14,24.08,24.02,3.6,7.01,7.04,7.06,-0.39,-0.63,1.91,2.36,-23.69
2021-04-15,24.73,24.85,0.0,6.76,6.79,6.79,-0.46,-0.55,2.27,2.43,-6.7
2021-04-16,24.52,25.09,0.0,6.54,6.56,6.65,-0.41,-1.65,2.02,2.24,-10.78
2021-04-17,24.41,24.92,1.2,6.42,6.44,6.39,-0.39,0.46,2.73,2.87,-5.23
2021-04-18,24.69,25.53,9.4,6.77,6.79,6.97,-0.34,-3.01,2.54,2.27,10.83
2021-04-19,23.94,24.42,4.0,7.09,7.12,7.16,-0.39,-0.97,1.3,1.84,-40.65
2021-04-20,24.17,23.19,0.0,6.6,6.63,6.32,-0.46,4.24,2.25,2.52,-12.1
2021-04-21,22.62,23.63,0.0,4.65,4.66,4.75,-0.33,-2.27,2.61,2.8,-7.32
2021-04-22,22.58,22.96,0.2,5.12,5.14,5.24,-0.29,-2.16,1.95,2.42,-24.18
2021-04-23,23.34,22.91,0.0,6.77,6.8,7.01,-0.47,-3.57,2.48,2.01,18.74
2021-04-24,24.19,22.02,0.0,6.42,6.44,6.86,-0.37,-6.84,2.22,1.95,12.11
2021-04-25,22.42,23.03,9.0,5.12,5.14,5.19,-0.37,-1.47,3.29,2.85,13.29
2021-04-26,22.17,23.41,0.0,4.8,4.82,4.86,-0.43,-1.25,3.49,3.19,8.83
2021-04-27,24.04,22.98,0.0,7.52,7.54,7.1,-0.36,5.63,1.14,1.81,-59.48
2021-04-28,24.63,23.97,0.0,6.08,6.11,5.77,-0.41,5.18,2.36,2.48,-4.89
2021-04-29,24.76,23.9,0.0,5.76,5.78,6.02,-0.36,-4.42,3.03,2.59,14.38
2021-04-30,22.92,24.18,21.4,6.18,6.21,6.22,-0.37,-0.54,2.83,2.45,13.16
2021-05-01,24.01,24.55,0.0,5.31,5.34,6.0,-0.44,-13.0,2.64,2.81,-6.52
2021-05-02,24.5,23.76,0.0,6.13,6.15,6.51,-0.38,-6.26,2.06,2.46,-18.96
2021-05-03,22.05,23.31,5.0,5.14,5.16,4.97,-0.36,3.25,1.89,1.58,16.39
