datetime,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2016-04-06 09:00:00,0.533,224.6,224.9888888888889,194.57500000000002,216.4611111111111,203.51666666666668
2016-04-06 10:00:00,0.367,310.9,401.08333333333337,344.80555555555554,384.3333333333333,365.6666666666667
2016-04-06 11:00:00,0.883,611.1,769.1388888888889,648.0000000000001,726.6388888888889,685.9444444444445
2016-04-06 12:00:00,0.716,471.0,760.4722222222222,648.2222222222222,728.9722222222223,697.3333333333334
2016-04-06 13:00:00,0.516,329.4,772.3333333333334,640.8055555555557,708.1944444444445,687.6388888888889
2016-04-06 14:00:00,0.433,300.8,669.5555555555557,554.1666666666667,607.6111111111112,599.8333333333334
2016-04-06 15:00:00,0.9,688.4,903.3611111111111,719.4722222222223,790.9444444444445,794.75
2016-04-06 16:00:00,0.85,568.8,633.8055555555555,486.61111111111114,543.8888888888889,545.6388888888889
2016-04-06 17:00:00,0.966,727.0,559.25,396.61111111111114,449.11111111111114,457.1111111111111
2016-04-06 18:00:00,0.45,204.6,161.75833333333335,110.28611111111111,127.93333333333334,126.25
2016-04-06 19:00:00,0.0,9.1,25.281111111111112,20.109166666666667,22.368055555555557,20.789166666666667
2016-04-06 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-06 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-06 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-06 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 03:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 04:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 06:00:00,0.0,3.353,0.8514722222222223,0.7766666666666666,0.7562777777777778,0.165875
2016-04-07 07:00:00,0.0,3.956,0.7198333333333334,0.5499444444444445,0.6574722222222222,0.7649722222222222
2016-04-07 08:00:00,0.0,3.979,3.6475000000000004,3.0488888888888894,3.2397222222222224,3.5283333333333333
2016-04-07 09:00:00,0.0,4.247,24.56722222222222,21.82388888888889,23.314722222222226,23.42888888888889
2016-04-07 10:00:00,0.0,3.61,157.89444444444445,136.12222222222223,146.75,144.93055555555557
2016-04-07 11:00:00,0.117,49.51,393.0833333333333,339.7777777777778,367.97222222222223,360.3888888888889
2016-04-07 12:00:00,0.733,272.6,741.4722222222223,633.8888888888889,697.75,675.0
2016-04-07 13:00:00,0.183,65.28,528.4444444444445,460.36111111111114,496.25,487.94444444444446
2016-04-07 14:00:00,0.117,72.9,425.6666666666667,372.5,396.86111111111114,394.36111111111114
2016-04-07 15:00:00,0.683,277.4,615.3333333333333,523.6388888888889,562.5833333333334,563.1666666666667
2016-04-07 16:00:00,0.666,206.9,482.08333333333337,406.36111111111114,438.1388888888889,437.61111111111114
2016-04-07 17:00:00,0.866,362.4,450.5277777777778,356.36111111111114,389.3333333333333,393.33333333333337
2016-04-07 18:00:00,0.217,71.1,156.13333333333335,137.48333333333335,145.84444444444443,145.5361111111111
2016-04-07 19:00:00,0.0,7.62,42.855555555555554,36.25277777777778,39.55555555555556,38.141666666666666
2016-04-07 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-07 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 03:00:00,0.0,3.353,0.6098611111111112,0.5113333333333333,0.5927500000000001,0.015611111111111112
2016-04-08 04:00:00,0.0,3.353,0.005,0.009647222222222222,0.010219444444444446,0.0
2016-04-08 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
