datetime,corrupt,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2018-04-05,4841.0,3.165,102.5,3443.0555555555557,2744.722222222222,3102.222222222222,3075.277777777778
2018-04-06,4841.0,5.681,128.3,4960.833333333334,3992.2222222222226,4555.555555555556,4428.888888888889
2018-04-07,4841.0,2.749,57.33,2945.8333333333335,2466.0833333333335,2773.638888888889,2671.0
2018-04-08,4841.0,3.182,71.0,3531.388888888889,2708.472222222222,3108.888888888889,3063.888888888889
2018-04-09,4841.0,3.165,54.37,4659.444444444444,3750.5555555555557,4244.444444444444,4146.388888888889
2018-04-10,4841.0,5.348,93.3,3858.888888888889,3080.8333333333335,3513.6111111111113,3400.0
2018-04-11,4841.0,5.298,136.9,4437.5,3552.777777777778,4132.5,3964.722222222222
2018-04-12,4841.0,2.082,37.95,2400.8611111111113,2000.5555555555557,2236.1111111111113,2180.277777777778
2018-04-13,4841.0,7.03,138.0,5380.277777777778,4175.0,4795.0,4722.222222222223
2018-04-14,4841.0,4.532,95.9,3899.722222222222,2975.0,3441.388888888889,3385.5555555555557
2018-04-15,4841.0,0.0,3.354,2152.25,1770.9444444444443,1980.3055555555557,1941.5833333333333
2018-04-16,4841.0,3.165,49.21,4286.388888888889,3490.5555555555557,3948.3333333333335,3854.444444444445
2018-04-17,4841.0,0.4,11.36,1969.8888888888891,1628.0833333333335,1797.0,1778.4722222222224
2018-04-18,4841.0,3.332,62.44,4045.277777777778,3255.277777777778,3674.444444444445,3608.6111111111113
2018-04-19,4841.0,4.765,91.9,3705.8333333333335,2939.166666666667,3376.1111111111113,3253.0555555555557
2018-04-20,4841.0,4.348,93.2,3908.0555555555557,3133.3333333333335,3608.3333333333335,3445.277777777778
2018-04-21,4841.0,3.848,91.2,4063.888888888889,3228.0555555555557,3733.3333333333335,3583.888888888889
2018-04-22,4841.0,6.214,141.0,5304.166666666667,4035.5555555555557,4681.944444444444,4599.444444444444
2018-04-23,4841.0,2.965,55.5,3316.666666666667,2693.888888888889,3053.888888888889,2962.5
2018-04-24,4841.0,4.432,97.4,4214.722222222223,3318.0555555555557,3831.944444444445,3703.888888888889
2018-04-25,4841.0,1.583,25.22,2310.3333333333335,1840.2777777777778,2076.777777777778,2052.972222222222
2018-04-26,4841.0,6.314,167.6,5795.833333333334,4297.222222222223,5077.5,4964.722222222223
2018-04-27,4841.0,4.265,65.7,3890.8333333333335,3008.0555555555557,3449.722222222222,3382.777777777778
2018-04-28,4841.0,7.33,137.8,5658.611111111111,4300.555555555556,4996.666666666667,4896.666666666667
2018-04-29,4841.0,8.8,188.4,5675.833333333334,4171.944444444444,4982.5,4807.777777777778
2018-04-30,4841.0,3.165,72.6,4096.111111111111,3118.888888888889,3588.0555555555557,3527.222222222222
2018-05-01,4841.0,9.38,259.7,7012.5,4958.888888888889,6017.777777777778,5828.88888888889
2018-05-02,4841.0,3.449,77.6,3717.5,2757.944444444445,3173.3333333333335,3144.444444444445
2018-05-03,4841.0,3.782,75.6,4370.0,3424.444444444445,3925.8333333333335,3820.277777777778
2018-05-04,4841.0,6.731,157.8,5528.055555555556,4021.666666666667,4814.722222222223,4664.444444444444
2018-05-05,4841.0,5.398,102.4,5259.444444444444,4028.888888888889,4693.611111111111,4564.722222222223
2018-05-06,4841.0,0.716,15.88,2030.0833333333335,1702.9722222222222,1889.5277777777778,1840.611111111111
2018-05-07,4841.0,3.015,58.2,4188.055555555556,3319.166666666667,3795.8333333333335,3680.0
2018-05-08,4841.0,3.599,125.7,4519.722222222223,3325.277777777778,3886.944444444445,3809.166666666667
2018-05-09,4841.0,3.615,75.8,4481.111111111111,3380.5555555555557,3935.0,3831.388888888889
2018-05-10,4841.0,5.514,118.3,3799.722222222222,2720.444444444445,3286.666666666667,3151.388888888889
2018-05-15,4841.0,8.53,305.9,5693.611111111111,3877.222222222222,4750.0,4547.5
2018-05-16,4841.0,4.382,77.2,4357.5,3212.777777777778,3747.777777777778,3676.944444444445
2018-05-17,4841.0,2.049,38.53,3779.444444444445,2910.8333333333335,3342.5,3250.8333333333335
2018-05-18,4841.0,7.58,171.6,6035.555555555556,4337.777777777778,5269.722222222223,5038.333333333334
2018-05-19,4841.0,2.982,65.52,3203.888888888889,2485.6388888888887,2956.666666666667,2822.222222222222
2018-05-20,4841.0,3.832,76.0,3555.8333333333335,2496.3055555555557,2974.444444444445,2897.777777777778
2018-05-21,4841.0,3.732,61.93,3335.0,2633.777777777778,3099.722222222222,2956.666666666667
2018-05-22,4841.0,2.766,54.82,4029.444444444445,3148.6111111111113,3627.222222222222,3505.0
2018-05-23,4841.0,0.183,15.32,270.46666666666664,194.175,224.39444444444447,218.05
2018-05-24,4841.0,4.115,81.0,4903.055555555556,3708.6111111111113,4332.5,4167.5
2018-05-25,4841.0,6.231,128.9,5765.277777777778,4001.388888888889,4839.722222222223,4672.777777777778
2018-05-26,4841.0,3.232,61.84,2479.8055555555557,1826.6666666666667,2198.777777777778,2070.416666666667
2018-05-27,4841.0,1.683,32.81,3178.888888888889,2465.8333333333335,2834.166666666667,2716.0555555555557
